2020-2021 NBA Stats | Player Box Score & Advanced Metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Facundo Campazzo,Den,G,30.07,50,19,39.5,12.7,17.4,51,0.824,62,0.403,143,0.385,0.524,0.565,5.1,1.6,4.7,2.9,18.5,1,0.2,0.96,6,115.5,105.5
,Vlatko Cancar,Den,F,24.02,30,5.4,11.3,13.8,19.4,8,0.875,19,0.579,19,0.263,0.487,0.53,1.5,1,10.8,0.3,7.7,0.3,0.07,0.33,5.7,99.3,105.6
,Devin Cannady,Orl,G,24.9,4,3.8,8,28.5,0,7,0.857,2,0.5,5,0.4,0.571,0.694,3.5,0,0,0,0,0.5,0.25,0,0,,
,Clint Capela,Atl,C,26.92,49,30.2,63,19.9,9,176,0.591,541,0.603,0,0,0.603,0.611,15.4,14.3,25.9,0.8,4.5,0.69,2.2,1.24,7.4,124.7,103.3
,Vernon Carey Jr.,Cha,F-C,20.14,11,6.2,12.9,17.2,11,5,0.8,16,0.688,6,0.167,0.568,0.599,2.6,1.5,12.8,0.2,4.5,0,0.27,0.27,5.9,109.7,104.9
,Wendell Carter Jr.,Chi,C-F,22,32,24.7,51.5,19,14,111,0.739,230,0.526,22,0.364,0.528,0.578,10.9,7.8,17.5,2.2,12.1,0.56,0.75,1.53,9.3,115,101.8
,Wendell Carter Jr.,Orl,C-F,22,11,27.9,58.2,20.8,10.8,42,0.738,99,0.606,14,0.214,0.571,0.608,14.5,8.7,16.4,2,12,1,1.09,1.45,9.1,120.8,106
,Jevon Carter,Pho,G,25.59,43,10.8,22.5,14.1,5.4,2,1,41,0.512,98,0.367,0.54,0.543,3.5,1.5,7.7,1.2,14.6,0.42,0.19,0.19,6.8,118.2,103
,Michael Carter-Williams,Orl,G,29.52,31,25.8,53.7,20.3,18.4,80,0.613,209,0.431,61,0.246,0.417,0.449,8.8,4.5,9.1,4.1,23.9,0.81,0.55,2.23,8.5,92.4,105.7
,Alex Caruso,Lal,G,27.13,46,20.4,42.5,14.2,18.6,55,0.655,119,0.445,106,0.415,0.529,0.55,6,3,8.1,2.6,17.2,1.15,0.22,1.24,7.1,106.2,99.1
,Willie Cauley-Stein,Dal,C,27.66,36,16.9,35.2,12.2,10.2,50,0.66,120,0.65,8,0.125,0.621,0.64,5.3,4.2,13.6,0.7,6,0.31,0.78,0.47,5.9,128.6,100.3
,Chris Chiozza,Bro,G,25.4,22,10.6,22,20.9,14.4,17,0.765,46,0.391,42,0.31,0.426,0.461,4,1.1,5.8,3,36.7,0.32,0.27,0.73,8.9,107.4,109.4
,Marquese Chriss,Gol,F,23.79,2,13.4,27.8,28.4,11.3,4,0.5,9,0.444,5,0.2,0.393,0.412,6.5,6.5,26,1,11.2,0,1,1,10.4,87.3,98.1
,Brandon Clarke,Mem,F-G,24.57,45,25.4,52.9,17.6,5.5,93,0.667,346,0.558,63,0.302,0.542,0.561,11.2,5.6,11.7,1.7,9.3,1.04,0.84,0.58,7.5,118.1,107.5
,Gary Clark,Orl,F,26.42,35,18.2,37.9,10.4,11.2,10,0.8,23,0.391,108,0.287,0.424,0.439,3.4,3.2,9.2,0.9,6.4,0.34,0.2,0.49,4.7,97,111.9
,Gary Clark,Den,F,26.42,2,2.1,4.3,0,,0,0,0,0,0,0,,,0,0.5,13.9,0,0,0,0,0,0,,
,Jordan Clarkson,Uta,G,28.86,52,25.4,53,29.2,9.8,92,0.946,322,0.525,449,0.347,0.523,0.55,17.2,3.9,8.1,2.2,13.9,0.87,0.15,1.69,8.3,108,105.7
,Nicolas Claxton,Bro,F-C,22,24,18.3,38.1,15,9.3,46,0.5,112,0.598,5,0.2,0.585,0.583,6.7,4.9,15.1,1.1,8,0.71,1.21,0.58,7.2,120.7,102.3
,Amir Coffey,Lac,G-F,23.83,38,8,16.7,14.7,11.9,21,0.619,34,0.529,46,0.435,0.6,0.611,2.9,0.9,6.5,0.4,7,0.24,0,0.32,5.1,115.5,110.7
,John Collins,Atl,F-C,23.57,47,30.3,63,22.5,7.7,154,0.838,453,0.603,158,0.38,0.594,0.63,18.2,7.7,14.1,1.4,7.6,0.53,1.04,1.21,7.7,124,104
,Mike Conley,Uta,G,33.52,45,29.9,62.2,22.6,12.2,123,0.854,267,0.487,299,0.415,0.558,0.594,16.4,3.3,5.9,5.7,28.6,1.33,0.18,1.91,9,122.6,105.2
,Pat Connaughton,Mil,G,28.28,52,23.1,48.1,11.6,7.2,34,0.735,94,0.564,200,0.39,0.578,0.591,7,4.9,11,1.3,6.9,0.65,0.35,0.46,6.1,123.5,106.5
,Quinn Cook,Lal,G,28.07,16,3.9,8.1,21.8,9.6,5,0.8,13,0.538,13,0.385,0.558,0.585,2.1,0.3,4.5,0.3,12.4,0.06,0.06,0.19,5.9,,
,Quinn Cook,Cle,G,28.07,7,13.6,28.4,21.6,8.5,3,1,29,0.379,13,0.462,0.476,0.496,6.1,1.7,7,1.9,21.9,0.43,0,0.57,7.9,105,108.8
,Tyler Cook,Bro,F,23.57,4,4.2,8.6,10.5,25,0,0,3,0.333,0,0,0.333,0.333,0.5,0.5,6.8,0.5,14.4,0,0,0.25,4.8,88,108
,Tyler Cook,Det,F,23.57,13,13,27.1,14.2,20,16,0.5,37,0.595,0,0,0.595,0.59,4,2.9,12.5,0.5,5.3,0.31,0,0.85,5.5,103.3,105.3
,DeMarcus Cousins,Hou,C,30.68,25,20.2,42.2,23.2,14.2,59,0.746,94,0.426,116,0.336,0.469,0.511,9.6,7.6,20.1,2.4,18.1,0.84,0.72,1.56,11.1,101.6,96.4
,DeMarcus Cousins,Lac,C,30.68,4,8.6,17.9,31.8,20.3,6,0.5,14,0.429,3,0.333,0.441,0.458,4.5,2.8,18,0.8,12.9,0.75,0,1.25,10,87.6,86.7
,Robert Covington,Por,F,30.34,53,32.2,67.1,12.1,11.9,47,0.809,120,0.483,282,0.387,0.551,0.569,9.1,6.6,11,1.7,7.2,1.58,1.28,1.08,5.8,112.1,108.6
,Torrey Craig,Mil,F,30.33,18,11.2,23.3,10.8,9.6,2,0.5,24,0.417,22,0.364,0.478,0.48,2.5,2.4,11.2,0.9,9.5,0.5,0.39,0.28,6.3,112.3,100.2
,Torrey Craig,Pho,F,30.33,15,15.9,33.1,15.2,9.8,8,0.625,39,0.641,31,0.419,0.636,0.639,6.3,4,14.1,0.9,8,0.73,0.4,0.53,7.1,124.1,99.2
,Jae Crowder,Pho,F,30.78,52,27.8,57.9,15.5,9.6,67,0.761,100,0.48,325,0.388,0.558,0.578,10.1,4.9,9.9,2.1,10,0.85,0.38,0.92,6.8,112.9,105.1
,Jarrett Culver,Min,G-F,22.15,33,15,31.3,18.3,13,48,0.604,114,0.482,53,0.245,0.446,0.473,5.4,3.2,11.4,0.7,6.4,0.52,0.27,0.85,6.1,94.1,107.1
,Seth Curry,Phi,G,30.65,44,28.9,60.2,17.4,10.7,66,0.894,221,0.48,210,0.41,0.545,0.575,12,2.2,4.1,2.8,14,0.77,0.18,1.25,5.8,112.7,107.2
,Stephen Curry,Gol,G,33.09,48,33.9,70.6,33.3,12,286,0.927,424,0.58,567,0.422,0.61,0.66,30.7,5.5,8.7,5.9,31.4,1.23,0.13,3.17,11.8,120.4,109.2
,Nate Darling,Cha,G,22.63,6,4,8.4,16.5,10.7,3,1,0,0,7,0.286,0.429,0.541,1.5,0.2,2.3,0.2,5.5,0,0.17,0.17,3.9,110.2,117.7
,Anthony Davis,Lal,F-C,28.1,23,32.8,68.4,27.9,9.3,130,0.715,325,0.575,58,0.293,0.555,0.588,22.5,8.4,14.2,3,16.3,1.35,1.78,1.96,10.1,115.3,101.5
,Ed Davis,Min,C-F,31.87,21,13.5,28.1,8.1,11,10,0.9,44,0.432,0,0,0.432,0.486,2.2,5.2,20.8,1,9.7,0.62,0.62,0.29,6.7,129.2,96.8
,Terence Davis,Tor,G,23.92,34,14.5,30.2,21.6,11.7,18,0.889,88,0.489,122,0.361,0.519,0.537,6.9,1.9,7.4,1.1,11.5,0.5,0.21,0.85,6.7,100.5,106.8
,Terence Davis,Sac,G,23.92,11,17.6,36.7,21.2,13.6,11,0.727,29,0.552,49,0.306,0.494,0.513,7.7,2.2,6.9,1.1,8.5,0.73,0.27,1.18,6,94.3,113.2
,Dewayne Dedmon,Mia,C,31.68,1,6.2,12.9,35.4,0,2,0.5,2,0.5,2,0,0.25,0.307,3,5,45.6,1,25.5,0,2,0,15.9,87.6,81.4
,Matthew Dellavedova,Cle,G,30.61,8,18.9,39.3,12.1,9.6,4,1,20,0.35,16,0.125,0.278,0.318,3,2,5.9,4.8,33.9,0.25,0,0.5,6.5,102.6,113
,DeMar DeRozan,San,G-F,31.69,47,34,70.8,25.4,9.7,326,0.88,635,0.517,64,0.281,0.508,0.592,21.2,4.3,6.7,7.2,33.1,0.91,0.26,1.94,10.2,122.5,110.5
,Mamadi Diakite,Mil,F,24.24,10,9.3,19.5,14.2,9.5,6,1,20,0.45,6,0.167,0.404,0.471,2.7,2.5,14,0.6,7.9,0.3,0.5,0.3,6.9,106.7,98.6
,Hamidou Diallo,Okc,G,22.71,32,23.8,49.5,22.8,12.1,132,0.629,256,0.512,41,0.293,0.502,0.536,11.9,5.2,11.3,2.4,16.4,0.97,0.38,1.53,8.9,105.7,103.4
,Hamidou Diallo,Det,G,22.71,10,20.8,43.3,20.2,12.4,26,0.769,58,0.5,15,0.467,0.541,0.586,9.9,4.4,11.8,1.2,9.3,0.6,0.7,1.2,7.2,111.3,103.8
,Gorgui Dieng,Mem,C,31.24,22,16.9,35.2,16.9,14.8,43,0.884,60,0.55,48,0.479,0.625,0.682,7.9,4.5,14.1,1.3,10.6,0.77,0.64,1,8.5,126.8,101.7
,Gorgui Dieng,San,C,31.24,3,8,16.6,21.2,17.2,6,0.667,3,0.333,4,0.25,0.357,0.467,3,0.7,4.4,0,0,0.67,0,0.67,0,79.9,91.1
,Spencer Dinwiddie,Bro,G,28.03,3,21.4,44.7,16,21.2,6,1,9,0.444,7,0.286,0.438,0.536,6.7,4.3,11.3,3,17.4,0.67,0.33,1.67,8.3,102.2,108.5
,Donte DiVincenzo,Mil,G,24.21,52,27.5,57.2,17.2,12.6,56,0.732,216,0.458,271,0.384,0.524,0.538,10.6,5.6,10.7,3.1,14.5,1.17,0.17,1.42,8.3,110.5,106.6
,Luka Doncic,Dal,F-G,22.13,50,35.1,73.1,35.8,15.1,360,0.733,631,0.566,410,0.361,0.556,0.593,28.4,7.9,12.3,8.8,44.8,0.96,0.62,4.28,14.3,114.3,107.5
,Luguentz Dort,Okc,G,22,44,29.6,61.6,21.2,10.3,124,0.726,254,0.457,268,0.343,0.487,0.519,13.6,3.6,6.4,1.6,8.3,0.98,0.39,1.5,5.8,99.5,108.4
,Damyean Dotson,Cle,G,26.95,35,18.8,39.2,17.4,10.6,32,0.688,106,0.519,115,0.278,0.466,0.485,6.5,2,5.9,2.1,16.8,0.4,0.11,0.8,6.4,99.9,113.7
,Devon Dotson,Chi,G,21.71,4,4.1,8.5,13.1,0,0,0,5,0.4,0,0,0.4,0.4,1,0.8,10.2,0.5,16.1,0.25,0,0,7.2,116.2,110
,Sekou Doumbouya,Det,F,20.31,46,13.3,27.7,17.5,13.8,42,0.738,107,0.43,87,0.241,0.399,0.438,4,2.1,8.8,0.6,6.9,0.43,0.11,0.74,5.2,87,103.6
,PJ Dozier,Den,G-F,24.48,41,20.2,42,16.9,10.9,57,0.614,152,0.474,108,0.343,0.49,0.509,7.1,3.6,10.2,1.6,10.6,0.61,0.39,0.85,6.8,105,106.8
,Goran Dragic,Mia,G,34.95,36,26.5,55.2,24.6,17.8,95,0.811,219,0.507,168,0.339,0.508,0.548,13.1,3.3,6.9,4.4,27,0.64,0.14,2.58,8.7,101.1,105.6
,Andre Drummond,Cle,C,27.69,25,28.9,60.2,31.2,15.6,129,0.597,372,0.484,8,0,0.474,0.5,17.5,13.5,26,2.6,16,1.6,1.16,3.24,11.8,97.1,99.7
,Andre Drummond,Lal,C,27.69,5,22.6,47,23.8,24.2,16,0.625,40,0.45,0,0,0.45,0.489,9.2,9.2,22.6,1.2,7.8,1.4,0.6,3,8.3,87.6,84.7
,Jared Dudley,Lal,F,35.77,11,6.9,14.4,5.1,22.2,0,0,2,0,5,0.4,0.429,0.429,0.5,1.7,13.9,0.5,8.1,0.09,0.09,0.18,4.4,106.4,99.4
,Kevin Durant,Bro,F,32.55,23,33.9,70.6,31.8,15.6,167,0.88,278,0.579,130,0.454,0.612,0.671,28.1,7,11.5,5.4,26.1,0.61,1.3,3.87,12,119.9,109.6
,Anthony Edwards,Min,G,19.7,57,31.3,65.3,27.1,10.6,196,0.786,550,0.456,392,0.316,0.464,0.5,18,4.4,7.6,2.7,13.8,1.12,0.4,2.14,7.6,97.4,114.6
,Carsen Edwards,Bos,G,23.1,23,8.8,18.3,19.7,4.3,9,0.778,40,0.65,44,0.295,0.542,0.557,4.3,0.9,5.5,0.4,7.4,0.22,0.04,0.17,5.3,113.7,106.4
,CJ Elleby,Por,F-G,20.83,21,7.3,15.1,16.1,5.3,11,0.636,22,0.591,27,0.222,0.449,0.474,2.4,1,7.7,0.2,3.6,0.29,0.14,0.14,4.3,103.5,106.5
,Henry Ellenson,Tor,F-C,24.26,2,19.2,40,17.7,0,4,0.75,5,0.6,9,0.222,0.429,0.476,7.5,6,17.2,2.5,18.7,0,0.5,0,10.1,120.5,95.4
,Wayne Ellington,Det,G,33.38,40,22.1,46,16.8,8,33,0.788,59,0.542,239,0.423,0.616,0.629,9.8,1.9,4.7,1.4,10,0.38,0.23,0.68,5.4,119,112
,Joel Embiid,Phi,C-F,27.09,38,32.2,67.1,35.1,11.7,448,0.855,574,0.544,116,0.379,0.548,0.642,30,11.1,18.9,3,16.6,1.03,1.45,3.08,12.4,122.7,99.9
,James Ennis III,Orl,F,30.8,39,24.3,50.6,14,11.1,81,0.815,135,0.504,101,0.436,0.568,0.615,8.6,4.1,8.7,1.5,9.1,0.82,0.18,0.87,6.2,120.2,107.3
,Drew Eubanks,San,F-C,24.21,36,13.3,27.7,16.6,14.8,61,0.689,128,0.539,1,1,0.547,0.587,5.1,3.8,15.1,0.8,8.5,0.31,1.03,0.75,7.5,112.7,102.5
,Dante Exum,Cle,G,25.76,6,19.4,40.3,12.7,20.7,2,0.5,15,0.533,11,0.182,0.423,0.428,3.8,2.8,8.2,2.2,15.6,0.67,0.33,1.17,5.9,86.4,108.6
,Tacko Fall,Bos,C,25.35,14,7.2,14.9,14.5,11.9,13,0.308,24,0.75,0,0,0.75,0.673,2.9,2.7,21.2,0.1,2.9,0.07,0.86,0.29,5.1,125.1,96
,Derrick Favors,Uta,F,29.76,53,15.5,32.4,13.7,11.8,73,0.74,198,0.626,1,0,0.623,0.653,5.7,5.5,18.5,0.8,6.9,0.51,1.04,0.58,7.6,135.1,93.9
,Cristiano Felicio,Chi,F-C,28.78,11,4.2,8.8,10.6,26.3,10,0.6,4,0.75,0,0,0.75,0.714,1.1,1.2,15.6,0.5,13.2,0.18,0,0.27,8.3,133.1,106.2
,Terrance Ferguson,Phi,G,22.92,13,3.8,7.9,9.6,36.4,0,0,2,0.5,5,0,0.143,0.143,0.2,0.1,1.1,0.2,4.9,0.08,0,0.31,1.7,,
,Bruno Fernando,Atl,F-C,22.67,26,6.8,14.3,13.2,33.4,18,0.667,26,0.462,2,0,0.429,0.501,1.4,2.5,19.8,0.3,6.6,0.08,0.12,0.69,6,85.5,101
,Yogi Ferrell,Cle,G,20,2,20.3,42.2,26.8,12.1,2,0,12,0.417,9,0.333,0.452,0.434,9.5,3.5,9.6,2.5,20.4,1.5,0.5,1.5,8.6,90.2,104.6
,Dorian Finney-Smith,Dal,F,27.95,44,32.1,66.8,11.8,6.9,30,0.8,120,0.567,217,0.364,0.553,0.567,9,5.7,9.6,1.6,6.6,0.86,0.43,0.59,5.4,120.6,108.4
,Malik Fitts,Lac,F,20,2,2,4.1,11.4,0,0,0,0,0,1,0,0,0,0,1,28.9,0,0,0,0,0,0,,
,Malachi Flynn,Tor,G,22.94,32,16.8,35.1,17.8,10.8,23,0.739,98,0.388,90,0.3,0.418,0.439,5.4,1.9,6.3,2.6,22.1,0.78,0.16,0.75,7.1,97.7,109.3
,Bryn Forbes,Mil,G,27.74,54,19.1,39.8,18.4,6.8,45,0.756,144,0.479,258,0.442,0.597,0.609,9.5,1.3,3.7,0.6,4.3,0.33,0,0.57,4.1,115.5,110.9
,Trent Forrest,Uta,G,22.85,15,5.8,12,11.9,29.3,2,1,13,0.538,3,0,0.438,0.474,1.1,0.5,4.3,1.2,26.8,0.27,0.07,0.47,6,100.1,106.1
,Evan Fournier,Orl,G-F,28.46,26,30.3,63,26.3,11.3,123,0.797,181,0.536,188,0.388,0.56,0.604,19.7,2.9,5,3.7,20.7,1.04,0.35,2.08,7.9,114,109.9
,Evan Fournier,Bos,G-F,28.46,4,28.7,59.7,16.5,9.1,4,0.75,15,0.333,23,0.478,0.566,0.578,11.5,1.8,3.4,1.8,8.5,1.25,0.75,1,4.7,111.9,108.3
,De'Aaron Fox,Sac,G,23.32,55,35.1,73.2,30.9,12.1,393,0.71,744,0.543,308,0.325,0.527,0.566,25.2,3.5,5.4,7.1,32.3,1.47,0.47,3.07,9.7,112.2,113.7
,Robert Franks,Orl,F,20,2,8.4,17.5,14.8,34.7,4,0.75,1,1,1,1,1.25,1.064,4,2,12.5,0.5,8.7,0,0,1,7.6,137.3,99.4
,Tim Frazier,Mem,G,20,3,10.8,22.6,14.3,27.3,0,0,6,0.333,2,0,0.25,0.25,1.3,1.3,6.6,2.3,26,0.33,0,1,5.8,67.6,102.2
,Markelle Fultz,Orl,G,22.89,8,26.9,56,26.2,13.8,19,0.895,88,0.42,16,0.25,0.413,0.458,12.9,3.1,6.1,5.4,32.8,1,0.25,2.25,8.9,96,108.1
,Wenyen Gabriel,Nor,F,24.06,9,4.7,9.8,19.7,35.4,4,0.5,6,0.167,5,0.2,0.227,0.274,0.8,1.6,18.2,0.6,14.2,0.11,0,0.78,7.8,68.6,112.5
,Daniel Gafford,Chi,F-C,22.54,31,12.4,25.8,14.3,17.3,41,0.659,87,0.69,0,0,0.69,0.7,4.7,3.3,15,0.5,6.1,0.35,1.1,0.71,6.4,127.5,100.8
,Daniel Gafford,Was,F-C,22.54,6,17.5,36.4,23.2,12,19,0.737,43,0.651,0,0,0.651,0.681,11.7,5.5,16.7,0.5,4.8,0.83,1.83,1.17,7.3,121.9,104
,Danilo Gallinari,Atl,F,32.69,39,24,49.9,21.7,8.2,134,0.933,165,0.448,204,0.407,0.538,0.61,13.4,4.1,9.3,1.4,8.8,0.56,0.18,0.97,7.1,120,106.9
,Langston Galloway,Pho,G,29.35,34,11.1,23.1,16.4,7.9,17,1,50,0.5,71,0.451,0.603,0.634,4.8,1,5.2,0.7,8.6,0.18,0,0.32,5.4,121.3,109.4
,Darius Garland,Cle,G,21.22,45,33.4,69.5,24.4,16.1,106,0.849,445,0.47,213,0.399,0.511,0.541,17,2.4,4.1,5.9,29.3,1.16,0.11,3,7.4,103.7,111.8
,Marc Gasol,Lal,C,36.21,44,19.5,40.7,12.6,20.4,44,0.75,69,0.536,111,0.387,0.564,0.592,5.4,4,11.5,2.1,14.3,0.52,1.2,1.16,7.3,110.6,96.6
,Rudy Gay,San,F-G,34.67,47,21.7,45.2,23,9.1,75,0.787,258,0.434,200,0.385,0.497,0.523,10.9,5,12.1,1.5,10.3,0.77,0.57,1.04,8,102.5,104.5
,Paul George,Lac,F,30.96,43,33.7,70.3,29.6,14.4,174,0.891,429,0.51,323,0.437,0.572,0.613,23.6,6.3,10.4,5.5,25.9,1.16,0.47,3.23,11.1,115.7,106.4
,Taj Gibson,Nyk,F,35.81,30,20.6,42.9,9.8,13.1,44,0.682,86,0.64,14,0.214,0.595,0.624,5,5.2,13.6,0.7,4.8,0.77,0.97,0.6,5.1,127.9,99.3
,Harry Giles III,Por,F-C,22.99,30,10.3,21.4,14.4,17.5,22,0.682,60,0.417,15,0.467,0.473,0.508,2.9,3.9,20.6,0.8,10.1,0.2,0.33,0.6,8.1,107.2,98.7
,Shai Gilgeous-Alexander,Okc,G-F,22.77,35,33.7,70.2,28.1,13.7,229,0.808,395,0.547,170,0.418,0.571,0.623,23.7,4.7,7.3,5.9,31.2,0.77,0.66,3.03,10.3,117.4,111.1
,Anthony Gill,Was,F,28.5,17,5.4,11.3,11.8,15.3,5,0.8,8,0.625,12,0.167,0.4,0.45,1.2,1.6,15.5,0.2,5.4,0.24,0.12,0.24,5.4,100,103.3
,Freddie Gillespie,Tor,F,20,5,15.9,33.2,14,11.6,4,0.75,21,0.619,0,0,0.619,0.637,5.8,4.2,14.5,0.4,3.8,0.6,1,0.6,5.4,124,101.7
,Rudy Gobert,Uta,C,28.81,56,31.1,64.8,16.9,13.2,315,0.613,455,0.675,3,0,0.67,0.676,14.4,13.6,22.9,1.3,6.2,0.54,2.86,1.63,8.2,129.9,99.2
,Brandon Goodwin,Atl,G,25.54,37,12.2,25.5,19.4,12.4,30,0.667,85,0.412,78,0.346,0.463,0.485,4.6,1.3,5.8,1.8,21.5,0.38,0,0.68,7.2,102.6,110.4
,Aaron Gordon,Orl,F,25.58,25,29.4,61.3,23.9,16.5,105,0.629,181,0.475,112,0.375,0.509,0.537,14.6,6.6,11.8,4.2,22.8,0.64,0.8,2.68,10.1,102.8,108.9
,Aaron Gordon,Den,F,25.58,11,27.2,56.7,16,10,22,0.727,61,0.705,28,0.286,0.618,0.638,11.5,4.5,9.5,2.5,12.9,0.82,0.64,1,7.4,127.4,110.4
,Eric Gordon,Hou,G,32.31,27,29.2,60.9,25.3,10.9,114,0.825,157,0.573,210,0.329,0.527,0.577,17.8,2.1,3.9,2.6,14.7,0.52,0.48,1.89,6.3,108.5,114.9
,Devonte' Graham,Cha,G,26.15,44,29.8,62,21,10.4,113,0.823,159,0.377,366,0.374,0.506,0.543,14.2,2.7,4.9,5.2,25.5,1.02,0.09,1.52,7.8,113.4,113.2
,Jerami Grant,Det,F,27.1,49,34.4,71.7,28.1,9.1,309,0.858,548,0.471,305,0.357,0.494,0.56,22.6,4.8,7.7,2.9,14.3,0.69,1.08,2.02,7.9,109.9,109.9
,Danny Green,Phi,G,33.82,55,28.5,59.3,13.9,11.3,33,0.758,90,0.444,345,0.412,0.582,0.591,9.7,3.7,7.2,1.7,8,1.31,0.87,1.04,5.5,113.4,104.5
,Draymond Green,Gol,F,31.12,48,30.6,63.8,13.4,30.7,66,0.773,192,0.495,99,0.263,0.46,0.498,6.6,6.6,11.5,8.6,36.1,1.67,0.79,2.96,9.4,105.6,101.7
,JaMychal Green,Den,F-C,30.82,43,18.5,38.6,18.7,12.3,43,0.837,133,0.541,147,0.408,0.579,0.602,8.4,5,15.3,0.8,5.7,0.51,0.35,0.98,7,115.5,99.3
,Javonte Green,Bos,G-F,27.74,25,13.8,28.8,12.2,13.4,30,0.667,49,0.653,22,0.318,0.599,0.624,4.2,2.1,8.4,0.4,4.3,0.72,0.08,0.52,4.4,119.4,106.3
,Javonte Green,Chi,G-F,27.74,4,6.6,13.6,14.8,33.3,0,0,5,0.2,1,0,0.167,0.167,0.5,1.5,12.8,0.5,9.1,0.5,0.5,0.75,4.4,49.9,100.6
,Jeff Green,Bro,F,34.64,52,26.7,55.5,14.8,8.9,111,0.757,205,0.561,178,0.41,0.586,0.617,10.3,3.7,7.8,1.5,7.6,0.54,0.35,0.81,5.8,120,111.1
,Josh Green,Dal,G,20.41,28,10.1,21.1,12.8,18.4,15,0.6,43,0.558,17,0.118,0.45,0.473,2.3,1.9,10.2,0.5,6.5,0.25,0.11,0.54,5.1,96,109.3
,Blake Griffin,Det,F,32.09,20,31.3,65.2,19.6,11.4,62,0.71,98,0.429,124,0.315,0.453,0.491,12.3,5.2,9.3,3.9,18.4,0.7,0.1,1.6,8,101,109
,Blake Griffin,Bro,F,32.09,10,19.2,39.9,17,17.3,23,0.783,30,0.567,22,0.409,0.587,0.636,7.9,4.1,12,2.2,15.1,0.8,0.5,1.3,8.6,117.8,102.5
,Kyle Guy,Sac,G,23.68,22,6.9,14.4,18.9,5.9,12,0.833,26,0.462,32,0.313,0.466,0.506,2.9,1,8,0.9,16.7,0.18,0,0.18,8,110.9,112.6
,Rui Hachimura,Was,F,23.19,46,31.9,66.5,18.1,9.4,139,0.763,402,0.515,116,0.31,0.504,0.542,13.7,5.8,9.6,1.5,6.9,0.85,0.07,1.3,6.2,105,109.6
,Ashton Hagans,Min,G-F,21.78,2,2.1,4.3,10.2,100,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.5,0,,
,Tyrese Haliburton,Sac,G,21.13,50,30.2,62.9,17.6,12.1,45,0.844,273,0.535,253,0.411,0.574,0.588,12.8,3.1,5.7,5,23,1.34,0.54,1.5,7.7,118.3,117.1
,Donta Hall,Orl,C,23.69,2,16.6,34.6,9.4,27.8,5,0.8,3,0.667,0,0,0.667,0.769,4,5,15.8,2.5,20.3,1,1.5,1,8.9,138.9,106
,Josh Hall,Okc,F,20.52,14,12.4,25.8,18.2,21.7,29,0.586,25,0.28,20,0.1,0.222,0.32,2.6,2,8.4,1.3,13.8,0,0,1.14,6.1,65.5,105.1
,R.J. Hampton,Den,G,20.19,25,9.3,19.4,14.3,14.4,12,0.75,42,0.476,18,0.278,0.458,0.49,2.6,2,12.2,0.6,7.6,0.2,0.08,0.44,6.3,99.6,105.7
,R.J. Hampton,Orl,G,20.19,11,22.5,46.9,20.4,12.8,20,0.55,64,0.531,29,0.276,0.495,0.506,9.4,4.2,9.7,1.2,8.3,0.91,0.27,1.36,6.4,94.1,109.2
,Tim Hardaway Jr.,Dal,G-F,29.09,54,28.5,59.3,22.8,6.1,123,0.797,292,0.517,396,0.389,0.555,0.581,16,3.4,6.4,1.7,9.1,0.46,0.13,0.89,6.3,114,112.3
,James Harden,Hou,G,31.64,8,36.3,75.5,28.7,17.4,60,0.883,63,0.556,72,0.347,0.537,0.613,24.8,5.1,7.5,10.4,47.3,0.88,0.75,4.25,12.1,118.6,113.6
,James Harden,Bro,G,31.64,34,37.3,77.7,28.7,16.6,256,0.867,332,0.548,255,0.361,0.545,0.616,25.4,8.7,13.1,11,43.4,1.26,0.68,4.09,14.4,122.1,107.9
,Maurice Harkless,Mia,F-G,27.93,11,11.2,23.4,6.1,17.8,2,0,2,0,11,0.455,0.577,0.54,1.4,1.2,5.9,0.6,7.5,0.18,0.36,0.27,3.6,104.2,103.5
